Complaint ID	Date Sumbited	Product	Sub-product	Issue	Sub-issue	Company public response	Company	State	ZIP code	Tags	Consumer consent provided?	Submitted via	Date Received	Company response to consumer	Timely response?	Consumer disputed?
282492600%	24-02-2018	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account		Cumulus Financial	FL	3317900%		Consent not provided	Web	24-02-2018	Closed with explanation	Yes	N/A
151599100%	4234600%	Debt collection	Credit card	Improper contact or sharing of info	Contacted employer after asked not to		Cumulus Financial	CA	9356100%		Consent not provided	Web	4234600%	Closed with explanation	Yes	No
114526100%	4177100%	Bank account or service	Checking account	Deposits and withdrawals	""""""		Cumulus Financial	CA	9179200%		N/A	Referral	4186300%	Closed with explanation	Yes	No
257376300%	13-07-2017	Mortgage	Conventional home mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9262900%		Consent not provided	Web	13-07-2017	Closed with explanation	Yes	N/A
257311300%	13-07-2017	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	NY	1001600%		Consent not provided	Web	13-07-2017	Closed with explanation	Yes	N/A
240603700%	27-03-2017	Credit card	""""""	Billing disputes	""""""		Cumulus Financial	AZ	8532300%		N/A	Referral	27-03-2017	Closed with explanation	Yes	No
239577700%	20-03-2017	Debt collection	Mortgage	Cont'd attempts collect debt not owed	Debt resulted from identity theft	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3051900%		N/A	Referral	21-03-2017	Closed with explanation	Yes	No
285077100%	19-03-2018	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NV	8904800%		N/A	Referral	21-03-2018	Closed with monetary relief	Yes	N/A
237668500%	4291900%	Mortgage	Other mortgage	Settlement process and costs	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AZ	8525400%	Older American	Consent not provided	Web	4291900%	Closed with explanation	Yes	No
282585700%	26-02-2018	Credit card or prepaid card	Store credit card	Closing your account	Company closed your account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	1606600%		Consent not provided	Web	26-02-2018	Closed with non-monetary relief	Yes	N/A
9620000%	4106600%	Credit card	""""""	Billing disputes	""""""		Cumulus Financial	NY	1141900%		N/A	Referral	13-06-2012	Closed with monetary relief	Yes	No
256997200%	4301500%	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9178000%		N/A	Phone	4301500%	Closed with explanation	Yes	N/A
282594600%	26-02-2018	Checking or savings account	Checking account	Managing an account	Banking errors	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3340900%		Consent not provided	Web	26-02-2018	Closed with explanation	Yes	N/A
239640500%	21-03-2017	Debt collection	Mortgage	False statements or representation	Attempted to collect wrong amount	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	LA	7145700%		Consent not provided	Web	21-03-2017	Closed with explanation	Yes	No
235849100%	24-02-2017	Credit card	""""""	Other fee	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9406100%		N/A	Phone	28-02-2017	Closed with explanation	Yes	No
47458800%	4140200%	Student loan	Non-federal student loan	Problems when you are unable to pay			Cumulus Financial	NY	1046700%		N/A	Phone	4149400%	Closed with explanation	Yes	No
237307900%	4288900%	Credit card	""""""	Transaction issue	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3296600%	Older American	N/A	Phone	4298100%	Closed with explanation	Yes	No
282795100%	27-02-2018	Checking or savings account	Checking account	Managing an account	Problem using a debit or ATM card		Cumulus Financial	GA	3006700%		N/A	Postal mail	27-02-2018	Closed with explanation	Yes	N/A
247284700%	4274000%	Mortgage	Other type of mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	7610900%		N/A	Referral	4283000%	Closed with explanation	Yes	N/A
266786000%	4298700%	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	NJ	888000%		N/A	Referral	15-09-2017	Closed with explanation	Yes	N/A
282827200%	28-02-2018	Mortgage	Conventional home mortgage	Closing on a mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	906XX		Consent provided	Web	28-02-2018	Closed with explanation	Yes	N/A
282633600%	26-02-2018	Mortgage	FHA mortgage	Trouble during payment process	""""""		Cumulus Financial	CT	641000%		Consent withdrawn	Web	26-02-2018	Closed with explanation	Yes	N/A
271758600%	31-10-2017	Checking or savings account	Checking account	Closing an account	Company closed your account		Cumulus Financial	CA	9210100%		N/A	Referral	4277700%	Closed with explanation	Yes	N/A
187736000%	13-04-2016	Mortgage	Conventional fixed mortgage	Credit decision / Underwriting	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	RI	290900%		Consent not provided	Web	13-04-2016	Closed with explanation	Yes	Yes
239028300%	16-03-2017	Credit card	""""""	Credit determination	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	KY	4022200%		Consent not provided	Web	16-03-2017	Closed with monetary relief	No	No
234569100%	15-02-2017	Credit card	""""""	Other fee	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MD	2122100%		N/A	Referral	19-04-2017	Closed with monetary relief	Yes	No
282829600%	28-02-2018	Mortgage	Conventional home mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AZ	8538300%		Consent not provided	Web	28-02-2018	Closed with explanation	Yes	N/A
239767300%	21-03-2017	Mortgage	Other mortgage	Other	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	1723600%		N/A	Fax	22-03-2017	Closed with explanation	Yes	No
279222400%	23-01-2018	Checking or savings account	Savings account	Opening an account	Unable to open an account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	OR	9775400%		N/A	Referral	24-01-2018	Closed with explanation	Yes	N/A
282736000%	28-02-2018	Debt collection	Other debt	Took or threatened to take negative or legal action	Threatened to arrest you or take you to jail if you do not pay	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	SC	2948300%		Consent provided	Web	28-02-2018	Closed with explanation	Yes	N/A
239169500%	17-03-2017	Credit card	""""""	Closing/Cancelling account	""""""		Cumulus Financial	NY	111XX		Consent not provided	Web	17-03-2017	Closed with monetary relief	Yes	No
283663700%	27-02-2018	Checking or savings account	Other banking product or service	Managing an account	Deposits and withdrawals		Cumulus Financial	OH	4413400%		N/A	Referral	4328400%	Closed with explanation	Yes	N/A
234161900%	13-02-2017	Bank account or service	Checking account	Problems caused by my funds being low	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ	872100%		N/A	Postal mail	16-02-2017	Closed with monetary relief	No	No
238126600%	4301100%	Credit card	""""""	Unsolicited issuance of credit card	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	VA	2231400%		N/A	Postal mail	14-03-2017	Closed with explanation	No	No
228097600%	4297900%	Mortgage	FHA mortgage	Settlement process and costs	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	190XX		Consent not provided	Web	4304000%	Closed with explanation	Yes	Yes
116639400%	22-12-2014	Bank account or service	Checking account	Deposits and withdrawals	""""""		Cumulus Financial	CA	9160600%		N/A	Web	22-12-2014	Closed with explanation	Yes	No
282768400%	27-02-2018	Checking or savings account	Savings account	Managing an account	Problem accessing account		Cumulus Financial	OH	4470600%		N/A	Fax	27-02-2018	Closed with explanation	Yes	N/A
263084800%	16-08-2017	Debt collection	Credit card debt	Written notification about debt	Didn't receive enough information to verify debt		Cumulus Financial				N/A	Referral	16-08-2017	Closed with explanation	Yes	N/A
9894200%	4112700%	Mortgage	Other mortgage	Other	""""""		Cumulus Financial	FL	3307100%		N/A	Postal mail	14-06-2012	Closed with explanation	Yes	No
282769300%	27-02-2018	Debt collection	Other debt	Attempts to collect debt not owed	Debt was paid	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NY	1031000%		N/A	Postal mail	27-02-2018	Closed with explanation	Yes	N/A
187660300%	4270800%	Student loan	Non-federal student loan	Can't repay my loan	Can't get flexible payment options	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	WV	261XX		Consent not provided	Web	4270800%	Closed with explanation	Yes	No
282952100%	4310300%	Debt collection	Credit card debt	False statements or representation	Attempted to collect wrong amount	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NM	8711400%		Consent not provided	Web	4310300%	Closed with explanation	Yes	N/A
282790700%	27-02-2018	Credit card or prepaid card	Store credit card	Getting a credit card	Sent card you never applied for	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	LA	7050300%	Service Member	N/A	Postal mail	27-02-2018	Closed with monetary relief	Yes	N/A
285077700%	19-03-2018	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised		Cumulus Financial	NY	1178700%		N/A	Referral	21-03-2018	Closed with monetary relief	Yes	N/A
266913200%	4307800%	Mortgage	Conventional home mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9582300%		Consent not provided	Web	4307800%	Closed with explanation	Yes	N/A
238903200%	15-03-2017	Mortgage	Other mortgage	Other	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NM	8750500%		N/A	Postal mail	16-03-2017	Closed with explanation	Yes	No
238567200%	14-03-2017	Mortgage	Other mortgage	Other	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3204300%		N/A	Referral	16-03-2017	Closed with explanation	Yes	No
283638900%	26-02-2018	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	OR	9747000%		N/A	Referral	4328400%	Closed with explanation	Yes	N/A
263487600%	17-08-2017	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Credit card company isn't resolving a dispute about a purchase on your statement		Cumulus Financial	NJ	836100%	Service Member	N/A	Phone	17-08-2017	Closed with explanation	Yes	N/A
282743600%	26-02-2018	Mortgage	Other type of mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MD	2085400%		N/A	Referral	27-02-2018	Closed with explanation	Yes	N/A
240455800%	26-03-2017	Credit card	""""""	Transaction issue	""""""		Cumulus Financial	MD	2083200%		Consent not provided	Web	27-03-2017	Closed with monetary relief	Yes	No
282671300%	27-02-2018	Credit card or prepaid card	General-purpose credit card or charge card	Problem when making payments	Problem during payment process	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	1560100%		Consent not provided	Web	27-02-2018	Closed with explanation	Yes	N/A
239179500%	17-03-2017	Credit card	""""""	Other	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9453600%		Consent not provided	Web	17-03-2017	Closed with explanation	No	No
239904600%	22-03-2017	Bank account or service	Checking account	Problems caused by my funds being low	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ	701800%		Consent not provided	Web	22-03-2017	Closed with monetary relief	Yes	No
239619700%	21-03-2017	Bank account or service	Checking account	Deposits and withdrawals	""""""		Cumulus Financial	FL	3399000%	Older American	Other	Web	21-03-2017	Closed with explanation	Yes	No
239508400%	20-03-2017	Debt collection	Mortgage	Cont'd attempts collect debt not owed	Debt is not mine	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	160XX		Consent not provided	Web	20-03-2017	Closed with explanation	Yes	No
87314200%	29-05-2014	Bank account or service	Checking account	Problems caused by my funds being low	""""""		Cumulus Financial	NY	103XX		N/A	Web	4173500%	Closed with monetary relief	Yes	No
238072000%	4298100%	Credit card	""""""	Identity theft / Fraud / Embezzlement	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3032000%	Older American	N/A	Postal mail	13-03-2017	Closed with explanation	Yes	No
238857900%	15-03-2017	Credit card	""""""	Payoff process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	IA	515XX	Older American	Consent not provided	Web	16-03-2017	Closed with monetary relief	Yes	No
4015000%	23-03-2012	Bank account or service	Checking account	Deposits and withdrawals	""""""		Cumulus Financial	GA	3003900%		N/A	Web	26-03-2012	Closed without relief	Yes	No
271718400%	31-10-2017	Mortgage	Conventional home mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9027400%		Consent not provided	Web	31-10-2017	Closed with monetary relief	Yes	N/A
240578700%	27-03-2017	Credit card	""""""	Transaction issue	""""""		Cumulus Financial	FL	336XX		Consent not provided	Web	27-03-2017	Closed with explanation	Yes	No
279112700%	24-01-2018	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	186XX		Consent not provided	Web	29-01-2018	Closed with explanation	Yes	N/A
282897700%	28-02-2018	Checking or savings account	Other banking product or service	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MD	2121500%		N/A	Referral	28-02-2018	Closed with explanation	Yes	N/A
241871500%	4285900%	Credit card	""""""	Credit line increase/decrease	""""""		Cumulus Financial	TX	782XX		Consent provided	Web	4285900%	Closed with explanation	Yes	No
139200400%	26-05-2015	Bank account or service	Other bank product/service	Problems caused by my funds being low	""""""	Company chooses not to provide a public response	Cumulus Financial	CA	9003600%		N/A	Referral	29-05-2015	Closed with explanation	Yes	No
